key,scope,table,field,ordinal,ref,category,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_admin,nested_resource,required,alphanumeric_sort,view_groups
activity_id,fields.activity,,,0,,,,TRUE,"Activity ID","Activity ID",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#activity/{activity_id}' }",,,,FALSE,,
date_of_activity,fields.activity,,,1,,,,TRUE,"The date the activity was performed","Date Performed",TRUE,,,[l;d],[c;u],date,link,"{ 'hrefTemplate': '#activity/{activity_id}' }",,,,TRUE,,
classification,fields.activity,,,2,,,,TRUE,"The class of the activity","Activity Class",TRUE,,activity.class,[l;d],[c],string,,,select,,,TRUE,,
type,fields.activity,,,3,,,,TRUE,"The type of the activity",Type,TRUE,,activity.type.*,[l;d],[c;u],string,link,,select,,,TRUE,,
serviced_user,fields.activity,custom,,4,,User,,TRUE,"User the service activity was performed for","Serviced User",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{serviced_user_id}' }",,,,FALSE,,
serviced_user_id,fields.activity,custom,,5,,User,,TRUE,"screensaver_user_id of the user the service activity was performed for","Serviced User ID",TRUE,,,,[c;u],string,link,"{ 'hrefTemplate': '#screensaveruser/{serviced_user_id}' }",,,,FALSE,,
serviced_username,fields.activity,custom,,6,,User,,TRUE,"Username of the user the service activity was performed for","Serviced Username",TRUE,,,,[c;u],string,link,"{ 'hrefTemplate': '#screensaveruser/{serviced_username}' }",,,,FALSE,,
screen_facility_id,fields.activity,screen,facility_id,7,,Screen,,TRUE,"Screen Facility ID",Screen,TRUE,,,[l;d],[c;u],string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,,FALSE,TRUE,
performed_by_user_id,fields.activity,custom,,8,,,,TRUE,"The person that performed the activity","Performed by User ID",TRUE,,,,[c;u],string,link,"{ 'hrefTemplate': '#screensaveruser/{performed_by_user_id}', 'editorTitle': 'Performed By' }",select,TRUE,screensaveruser,TRUE,,
performed_by_username,fields.activity,custom,,9,,,,TRUE,"The person that performed the activity","Performed By Username",TRUE,,,,[c;u],string,link,"{ 'hrefTemplate': '#screensaveruser/{performed_by_username}' }",select,TRUE,screensaveruser,FALSE,,
performed_by_name,fields.activity,custom,,10,,,,TRUE,"The person that performed the activity","Performed By",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{performed_by_user_id}' }",,,,FALSE,,
funding_support,fields.activity,,,11,,,,TRUE,"Funding Support","Funding Support",TRUE,,funding_support,[l;d],[c;u],string,,,select,TRUE,,FALSE,,[readEverythingAdmin]
comments,fields.activity,,,12,,,,TRUE,Comments,Comments,TRUE,,,[l;d],[c;u],string,,,textarea,TRUE,,FALSE,,[readEverythingAdmin]
created_by_username,fields.activity,custom,,50,,,,TRUE,"The admin who created the activity","Created By Username",TRUE,,,,,string,link,"{ 'hrefTemplate': '#screensaveruser/{created_by_username}' }",,TRUE,,FALSE,,
created_by_name,fields.activity,custom,,51,,,,TRUE,"The admin who created the activity","Created By",TRUE,,,[d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{created_by_username}' }",,TRUE,,FALSE,,
date_created,fields.activity,,,52,,,,TRUE,"The date the activity was recorded","Date Recorded",TRUE,,,[d],,date,,,,TRUE,,FALSE,,
screen_type,fields.activity,screen,screen_type,101,fields.screen/screen_type,,,TRUE,"Screen Type","Screen Type",TRUE,,screen.type,[],[],string,,"{ 'optgroup':'screen' }",select,,,FALSE,,
screen_title,fields.activity,screen,title,102,fields.screen/title,,,TRUE,"Screen Title","Screen Title",TRUE,,,[],[],string,,"{ 'optgroup':'screen' }",,,,FALSE,,
screen_lab_name,fields.activity,custom,,103,fields.screen/lab_name,,,TRUE,"Screen Lab","Screen Lab",TRUE,,,[],[],string,link,"{ 'hrefTemplate': '#screensaveruser/{screen_lab_head_id}', 'optgroup':'screen' }",,,,FALSE,,
screen_lab_head_id,fields.activity,custom,,104,fields.screen/lab_head_id,,,TRUE,"Screen Lab Head ID","Screen Lab Head ID",TRUE,,,[],[],string,link,"{ 'hrefTemplate': '#screensaveruser/{screen_lab_head_id}', 'optgroup':'screen' }",,TRUE,,FALSE,,
screen_lab_affiliation,fields.activity,custom,,105,fields.screen/lab_affiliation,,,TRUE,"Screen Lab Affiliation","Screen Lab Affiliation",TRUE,,,[],[],string,,"{ 'optgroup':'screen' }",,,,FALSE,,
screen_lead_screener_id,fields.activity,custom,,106,fields.screen/lead_screener_id,,,TRUE,"Screen Lead Screener ID","Screen Lead Screener ID",TRUE,,,[],,string,link,"{ 'hrefTemplate': '#screensaveruser/{screen_lead_screener_id}', 'optgroup':'screen' }",,TRUE,,FALSE,,
screen_lead_screener_name,fields.activity,custom,,107,fields.screen/lead_screener_name,,,TRUE,"Screen Lead Screener","Screen Lead Screener",TRUE,,,[],[],string,link,"{ 'hrefTemplate': '#screensaveruser/{screen_lead_screener_id}', 'optgroup':'screen' }",,,,FALSE,,
screen_funding_supports,fields.activity,custom,,108,fields.screen/funding_supports,,,TRUE,"Screen Funding Supports","Screen Funding Supports",TRUE,,funding_support,[],[],list,,"{ 'optgroup':'screen' }",multiselect3,TRUE,,FALSE,,[readEverythingAdmin]
screen_status,fields.activity,screen,status,109,fields.screen/status,,,TRUE,"Screen Status","Screen Status",TRUE,,screen.status,[],[],string,,"{ 'optgroup':'screen' }",select,,,FALSE,,
screen_status_date,fields.activity,screen,status_date,110,fields.screen/status_date,,,TRUE,"Screen Status Date","Screen Status Date",TRUE,,,[],[],date,,"{ 'optgroup':'screen' }",,,,FALSE,,
screen_date_of_last_activity,fields.activity,custom,,111,,Screen,,TRUE,"Screen Date of Last Activity","Screen Date of Last Activity",TRUE,,,,,date,,"{ 'optgroup':'screen' }",,,,FALSE,,
screen_comments,fields.activity,screen,comments,112,,Screen,,TRUE,"Screen Comments","Screen Comments",TRUE,,,,,string,,"{ 'optgroup':'screen' }",,TRUE,,FALSE,,[readEverythingAdmin]
apilog_uri,fields.activity,,,113,,Internal,,TRUE,"ApiLog URI","ApiLog URI",TRUE,,,,,string,link,"{ 'hrefTemplate': '#apilog/{apilog_uri}' }",,TRUE,,FALSE,,[readEverythingAdmin]
cherry_pick_request_id,fields.activity,custom,,114,,Internal,,TRUE,"The Cherry Pick Request ID for the associated activity if relevant","Cherry Pick Request ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}' }",,,,FALSE,,
