key,scope,table,field,resource_uri,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,nested_resource,default,required,min,max,regex,validation_message,alphanumeric_sort
cherry_pick_request_id,fields.cherrypickassayplate,,,/reports/api/v1/field/fields.cherrypickassayplate/cherry_pick_request_id/,0,,TRUE,"Cherry Pick Request ID","Cherry Pick Request ID",TRUE,,,[d],,integer,,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}' }",,,,,,,,,,
plate_ordinal,fields.cherrypickassayplate,,,/reports/api/v1/field/fields.cherrypickassayplate/plate_ordinal/,1,,TRUE,"Plate Number","Plate Number",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}/platemapping/search/cherry_pick_plate_number__eq={plate_ordinal}' }",,,,,,,,,,
plate_type,fields.cherrypickassayplate,,assay_plate_type,/reports/api/v1/field/fields.cherrypickassayplate/plate_type/,2,,TRUE,"Assay Plate Type","Assay Plate Type",TRUE,,plate.type,[l;d],,string,,,select,,,,,,,,,
plating_date,fields.cherrypickassayplate,,,/reports/api/v1/field/fields.cherrypickassayplate/plating_date/,4,,TRUE,"Date of the liquid transfer","Plating Date",TRUE,,,[l;d],[u],date,,,,,,,,,,,,
plated_by_id,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/plated_by_id/,5,,TRUE,"Plated By ID","Plated By ID",TRUE,,,[d],[u],string,link,"{ 'hrefTemplate': '#screensaveruser/{plated_by_id}' }",,,,,,,,,,
plated_by_username,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/plated_by_username/,5,,TRUE,"Plated By","Plated By Username",TRUE,,,,[u],string,link,"{ 'hrefTemplate': '#screensaveruser/{plated_by_username}' }",,,,,,,,,,
plated_by_name,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/plated_by_name/,6,,TRUE,"Plated By","Plated By",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{plated_by_id}' }",,,,,,,,,,
plating_comments,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/plating_comments/,7,,TRUE,"Plating Comments","Plating Comments",TRUE,,,[l;d],[u],string,link,"{ 'hrefTemplate': '#apilog/order/-date_time/search/ref_resource_name=cherrypickassayplate;key={cherry_pick_request_id}/{plate_ordinal};diff_keys__contains=plating_date', 'className': 'text-wrap-cell' }",,,,,,,,,,
screening_date,fields.cherrypickassayplate,,,/reports/api/v1/field/fields.cherrypickassayplate/screening_date/,8,,TRUE,"Date Screened","Date Screened",TRUE,,,[l;d],[u],date,,,,,,,,,,,,
screened_by_id,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/screened_by_username/,9,,TRUE,"Screened By Id","Screened By ID",TRUE,,,[d],[u],string,link,"{ 'hrefTemplate': '#screensaveruser/{screened_by_id}' }",,,,,,,,,,
screened_by_username,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/screened_by_username/,9,,TRUE,"Screened By Username","Screened By Username",TRUE,,,,[u],string,link,"{ 'hrefTemplate': '#screensaveruser/{screened_by_username}' }",,,,,,,,,,
screened_by_name,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/screened_by_name/,10,,TRUE,"Screeened By","Screeened By",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{screened_by_id}' }",,,,,,,,,,
screening_comments,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/screening_comments/,11,,TRUE,"Screening Comments","Screening Comments",TRUE,,,[l;d],[u],string,link,"{ 'hrefTemplate': '#apilog/order/-date_time/search/ref_resource_name=cherrypickassayplate;key={cherry_pick_request_id}/{plate_ordinal};diff_keys__contains=screening_date', 'className': 'text-wrap-cell' }",,,,,,,,,,
screen_facility_id,fields.cherrypickassayplate,screen,facility_id,/reports/api/v1/field/fields.cherrypickassayplate/screen_facility_id/,12,,TRUE,"Screen Facility ID",Screen,TRUE,,,[d],,string,,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,,,,,,,,TRUE
lab_cherry_pick_count,fields.cherrypickassayplate,custom,,/reports/api/v1/field/fields.cherrypickassayplate/lab_cherry_pick_count/,13,,TRUE,"Lab Cherry Picks that have been mapped to this plate","Lab Cherry Pick Count",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}/platemapping/search/cherry_pick_plate_number__eq={plate_ordinal}' }",,,,,,,,,,
