key,scope,resource_uri,table,field,ordinal,comment,ui_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,alias,backgrid_cell_type,backgrid_cell_options,is_restricted,nested_resource
plate_number,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/plate_number/,,,1,,integer,TRUE,"Plate number",Plate,TRUE,,,"[list,detail]",,Iccbl.LinkCell,librarycopyplate/{library_short_name}/{copy_name}/{plate_number},,
copy_name,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/copy_name/,copy,name,2,,string,TRUE,"Copy name",Copy,TRUE,,,"[list,detail]",,,,,
copy_usage_type,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/copy_usage_type/,copy,usage_type,2,,Select,TRUE,"Copy usage type","Copy Usage Type",TRUE,,,[detail],,,,,
screen_type,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/screen_type/,library,screen_type,2,,Select,TRUE,"Screen Type","Screen Type",TRUE,,screen.type,[detail],,,,,
status,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/status/,plate,status,3,,Select,TRUE,"The plate status",Status,TRUE,,plate.status,"[list,detail]",,,,,
status_date,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/status_date/,custom,,4,,date,TRUE,"The date on which the status took effect","Status date",TRUE,,,"[list,detail]",,,,,
status_performed_by,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/status_performed_by/,custom,,4,,string,TRUE,"The person that performed the activity appropriate for the plate status","Status Change Performed By",TRUE,,,[detail],,,,,
room,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/room/,plate_location,,5,,string,TRUE,"Room where the plate is stored",Room,TRUE,,,"[list,detail]",,,,,
freezer,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/freezer/,plate_location,,6,,string,TRUE,"Freezer where the plate is stored",Freezer,TRUE,,,"[list,detail]",,,,,
shelf,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/shelf/,plate_location,,7,,string,TRUE,"Shelf upon which the plate is stored",Shelf,TRUE,,,"[list,detail]",,,,,
bin,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/bin/,plate_location,,8,,string,TRUE,"Bin in which the plate is stored",Bin,TRUE,,,"[list,detail]",,,,,
plate_type,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/plate_type/,,,9,,Select,TRUE,"The plate type","Plate Type",TRUE,,plate.type,"[list,detail]",,,,,
well_volume,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/well_volume/,,,10,,float,TRUE,"The volume of each well of the plate when it was created","Initial Well Volume",TRUE,,,"[list,detail]",,Iccbl.SciUnitsCell,"{ ""decimals"": 3, ""multiplier"": 1, ""symbol"": ""L"" }",,
library_short_name,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/library_short_name/,library,short_name,0,,string,TRUE,"The library short name",Library,TRUE,,,"[list,detail]",,,,,
avg_remaining_volume,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/avg_remaining_volume/,,,20,,float,TRUE,"Average Remaining Volume","Average Remaining Volume",TRUE,,,"[list,detail]",,Iccbl.SciUnitsCell,"{ ""decimals"": 3, ""multiplier"": 1, ""symbol"": ""L"" }",,
min_molar_concentration,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/min_molar_concentration/,,,21,,float,TRUE,"The minimum molar concentration (diluted) of the wells of the copy's plates","Minimum Well Molar Concentration",TRUE,,,"[list,detail]",,Iccbl.SciUnitsCell,"{ ""decimals"": 3, ""multiplier"": 1, ""symbol"": ""M"" }",,
max_molar_concentration,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/max_molar_concentration/,,,22,,float,TRUE,"The maximum molar concentration (diluted) of the wells of the copy's plates","Maximum Well Molar Concentration",TRUE,,,"[list,detail]",,Iccbl.SciUnitsCell,"{ ""decimals"": 3, ""multiplier"": 1, ""symbol"": ""M"" }",,
min_mg_ml_concentration,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/min_mg_ml_concentration/,,,23,,float,TRUE,"The minimum mg/mL concentration (diluted) of the wells of the copy's plates","Minimum Well mg/ml Concentration",TRUE,,,"[list,detail]",,Iccbl.DecimalCell,"{ ""decimals"": 2 }",,
max_mg_ml_concentration,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/max_mg_ml_concentration/,,,24,,float,TRUE,"The maximum mg/mL concentration (diluted) of the wells of the copy's plates","Maximum Well mg/ml Concentration",TRUE,,,"[list,detail]",,Iccbl.DecimalCell,"{ ""decimals"": 2 }",,
facility_id,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/facility_id/,,,25,,string,TRUE,"The identifier used by the facility to uniquely identify the plate","Facility ID",TRUE,,,"[list,detail]",,,,,
date_plated,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/date_plated/,,,26,,date,TRUE,"The date the plate was created","Date Plated",TRUE,,,"[list,detail]",,,,,
date_retired,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/date_retired/,,,27,,date,TRUE,"The date the plate was retired","Date Retired",TRUE,,,"[list,detail]",,,,,
screening_count,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/screening_count/,custom,,28,,integer,TRUE,"The total number of times this plate has been screened, ignoring replicates","Screening Count",TRUE,,,"[list,detail]",,,,,
dl_count,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/dl_count/,custom,,29,,integer,TRUE,"Data Loading Count","Data Loading Count",TRUE,,,"[list,detail]",,,,,
ap_count,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/ap_count/,custom,,40,,integer,TRUE,"Assay Plate Count","Assay Plate Count",TRUE,,,"[list,detail]",,,,,
first_date_screened,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/first_date_screened/,custom,,41,,date,TRUE,"The date the plate was first screened","First Date Screened",TRUE,,,"[list,detail]",,,,,
last_date_screened,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/last_date_screened/,custom,,42,,date,TRUE,"The date the plate was last screened","Last Date Screened",TRUE,,,"[list,detail]",,,,,
first_date_data_loaded,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/first_date_data_loaded/,custom,,43,,date,TRUE,"The date of the first screen result data loading activity","First Date Data Loaded",TRUE,,,"[list,detail]",,,,,
last_date_data_loaded,fields.librarycopyplates,/reports/api/v1/metahash/fields.librarycopyplates/last_date_data_loaded/,custom,,44,,date,TRUE,"The date of the last screen result data loading activity","Last Date Data Loaded",TRUE,,,"[list,detail]",,,,,
