key,scope,category,ref,ordinal,table,field,ordinal_field,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,required,value_template,alphanumeric_sort
cherry_pick_request_id,fields.labcherrypick,,,0,,,,,TRUE,"Cherry Pick Request ID","Cherry Pick Request ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}' }",,,,,
status,fields.labcherrypick,,,1,custom,,,,TRUE,Status,Status,TRUE,,labcherrypick.status,[l;d],,string,,,select,,,,
selected,fields.labcherrypick,,,2,custom,,,,TRUE,Selected,Selected,TRUE,,,,[l;u],boolean,,,,,,,
library_name,fields.labcherrypick,library,,3,library,,,,TRUE,"Source Library Full Name","Library Full Name",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}' }",,,,,
library_short_name,fields.labcherrypick,library,,4,library,short_name,,,TRUE,"Source Library Short Name",Library,TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}' }",,,,,
library_comment_array,fields.labcherrypick,library,,5,custom,,,,TRUE,"Source Library Comments","Library Comments",FALSE,,,,,list,comment_array,,,,,,
library_plate,fields.labcherrypick,,,6,well,plate_number,,,TRUE,"Source Library Plate","Source Plate",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{source_copy_name}/plate/{library_plate}',  'orderSeparator': ''  }",,,,,
source_copy_name,fields.labcherrypick,copy,,7,copy,name,,,TRUE,"Potential Source Copy","Source Copy",TRUE,,,[l;d],[l;u],string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{source_copy_name}' }",,,,,
source_copy_comments,fields.labcherrypick,copy,,8,copy,comments,,,TRUE,"Source Copy Comments","Source Copy Comments",TRUE,,,[d],,string,,,,,,,
screener_well_id,fields.labcherrypick,,,9,custom,,,,TRUE,"Screener Cherry Pick Well ID (may be different if selections are from pool wells)","Screener Cherry Pick Well",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{screener_library_short_name}/well/{screener_well_id}' }",,,,,
screener_library_short_name,fields.labcherrypick,library,,10,custom,,,,TRUE,"Screener Cherry Pick Well Library (may be different if selections are from pool wells)","Screener Cherry Pick Well Library",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{screener_library_short_name}' }",,,,,
source_well_id,fields.labcherrypick,,,11,well,well_id,,,TRUE,"Source Well ID","Source Well ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/well/{source_well_id}' }",,,,,
source_well_name,fields.labcherrypick,,,12,well,well_name,,,TRUE,"Source Well","Source Well",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/well/{source_well_id}' }",,,,,
source_copywell_id,fields.labcherrypick,"copy well",,13,custom,,,,TRUE,"The library-copy-well to use for the pick","Source Copywell",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{source_copy_name}/copywell/{source_well_id}' }",,,,,
selected_copy_name,fields.labcherrypick,copy,,14,custom,,,,TRUE,"Selected Source Copy name","Selected Copy Name",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{selected_copy_name}' }",,,,,
source_copy_id,fields.labcherrypick,copy,,15,copy,copy_id,,,TRUE,"Internal Copy ID","Source Copy ID",TRUE,,,[api],,string,,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{source_copy}' }",,,,,
source_copy_usage_type,fields.labcherrypick,copy,,16,copy,usage_type,,,TRUE,"Source Copy Usage Type","Source Copy Usage Type",TRUE,,copy.usage_type,[l],,string,,,select,,,,
source_plate_status,fields.labcherrypick,copy,,17,plate,status,,,TRUE,"Source Copy Plate Status","Source Plate Status",TRUE,,plate.status,[l],,string,,,select,,,,
source_plate_date_retired,fields.labcherrypick,copy,,18,plate,date_retired,,,TRUE,"Source Plate Date Retired","Source Plate Date Retired",TRUE,,,[d],,date,,,,,,,
source_plate_screening_count,fields.labcherrypick,copy,,19,plate,screening_count,,,TRUE,"The total number of times this plate has been thawed and refrozen for a plate screening activity","Source Plate Screening Count",TRUE,,,[d],,integer,link,"{ 'hrefTemplate': '#libraryscreening/search/library_plates_screened__contains={source_copy_name}/{library_plate}' }",,,,,
source_plate_cp_screening_count,fields.labcherrypick,copy,,20,plate,cplt_screening_count,,,TRUE,"The total number of times this plate has been thawed and refrozen for a cherry pick screening activity","Source Plate Cherry Pick Screening Count",TRUE,,,[d],,integer,,,,,,,
source_plate_type,fields.labcherrypick,copy,,21,plate,plate_type,,,TRUE,"Source Copy Plate Type","Source Plate Type",TRUE,,plate.type,,,string,,,select,,,,
library_plate_comment_array,fields.labcherrypick,copy,,22,custom,,,,TRUE,"Source Plate comments","Source Plate Comments",FALSE,,,,,list,comment_array,,,,,,
source_copy_well_volume,fields.labcherrypick,"copy well",,23,custom,,,,TRUE,"Source Copy Well Volume","Source Copy Well Volume",TRUE,,,[l],,decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
source_copy_well_initial_volume,fields.labcherrypick,"copy well",,24,custom,,,,TRUE,"Source Copy Well Initial Volume","Source Copy Well Initial Volume",TRUE,,,,,decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
source_copy_well_consumed_volume,fields.labcherrypick,"copy well",,25,custom,,,,TRUE,"Source Copy Well Consumed Volume","Source Copy Well Consumed Volume",TRUE,,,,,decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
volume_approved,fields.labcherrypick,,,26,cherry_pick_request,transfer_volume_per_well_approved,,,TRUE,"The (approved) volume to transfer, per well, from the library source plates","Volume to Transfer",TRUE,,,[l],,decimal,siunit,"{ 'decimals': 1, 'symbol': 'L', 'defaultUnit': 1e-6}",,,,,
vendor_name,fields.labcherrypick,,fields.reagent/vendor_name,27,reagent,,,,TRUE,"The vendor of the reagent in this well","Vendor Name",TRUE,,,[l;d],,string,,,,,,,
vendor_identifier,fields.labcherrypick,,fields.reagent/vendor_identifier,28,reagent,,,,TRUE,"The vendor-assigned identifier for the reagent in this well","Reagent Vendor Identifier",TRUE,,,[l;d],,string,,,,,,,
pool_reagent_vendor_id,fields.labcherrypick,reagent,,29,custom,,,,TRUE,"Pool Reagent Vendor ID","Pool Reagent Vendor ID",TRUE,,,,,string,,,,,,,
cherry_pick_plate_number,fields.labcherrypick,,,30,cherry_pick_assay_plate,plate_ordinal,,,TRUE,"Cherry Pick Plate #","Cherry Pick Plate #",TRUE,,,[l;d],,integer,,,,,,,
destination_well,fields.labcherrypick,,,31,custom,,,,TRUE,"Destination Well","Destination Well",TRUE,,,[l;d],,string,,,,,,,
screen_facility_id,fields.labcherrypick,screen,,32,screen,facility_id,,,TRUE,"Screen Facility ID","Screen Facility ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,,,TRUE
destination_plate_type,fields.labcherrypick,,,33,cherry_pick_request,assay_plate_type,,,TRUE,"Destination Plate Type","Destination Plate Type",TRUE,,plate.type,,,string,,,select,,,,
room,fields.labcherrypick,,fields.platelocation/room,34,plate_location,,,,TRUE,"Room where the plate is stored",Room,TRUE,,,,,string,link,"{ 'hrefTemplate': '#platelocation/search/room={room}' }",,,,,
freezer,fields.labcherrypick,,fields.platelocation/freezer,35,plate_location,,,,TRUE,"Freezer where the plate is stored",Freezer,TRUE,,,,,string,link,"{ 'hrefTemplate': '#platelocation/search/room={room};freezer={freezer}' }",,,,,
shelf,fields.labcherrypick,,fields.platelocation/shelf,36,plate_location,,,,TRUE,"Shelf upon which the plate is stored",Shelf,TRUE,,,,,string,link,"{ 'hrefTemplate': '#platelocation/search/room={room};shelf={shelf};freezer={freezer}' }",,,,,
bin,fields.labcherrypick,,fields.platelocation/bin,37,plate_location,,,,TRUE,"Bin in which the plate is stored",Bin,TRUE,,,,,string,link,"{ 'hrefTemplate': '#platelocation/{room}/{freezer}/{shelf}/{bin}' }",,,,,
location,fields.labcherrypick,"plate location",,38,custom,,,,FALSE,Location,Location,TRUE,,,,,string,link,"{ 'hrefTemplate': '#platelocation/{room}/{freezer}/{shelf}/{bin}' }",,,,{room}-{freezer}-{shelf}-{bin},
is_manually_selected,fields.labcherrypick,,,39,,,,,TRUE,"True if this pick was manually selected","Is Manually Selected",TRUE,,,,,boolean,,,,,,,
