key,scope,resource_uri,table,field,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,nested_resource,regex,validation_message
library_short_name,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/library_short_name/,library,short_name,0,,TRUE,"The library short name",Library,TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}' }",,,,,
copy_name,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/copy_name/,copy,name,1,,TRUE,"Copy name",Copy,TRUE,,,[l;d],[c],string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}' }",,,,"^[\w :]+$","Only letters, numbers, spaces, and colons are allowed."
usage_type,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/usage_type/,,,2,,TRUE,"Copy usage type","Copy Usage Type",TRUE,,copy.usage_type,[l;d],[c;u],string,,,select,,,,
screen_type,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/screen_type/,library,screen_type,3,,TRUE,"Screen Type","Screen Type",TRUE,,screen.type,[d],,string,,,select,,,,
library_type,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/library_type/,library,library_type,4,,TRUE,"Library Type","Library Type",TRUE,,library.type,[d],,string,,,select,,,,
primary_plate_location,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/primary_plate_location/,custom,,5,,TRUE,"The most common plate location (room-freezer-shelf-bin) for plates of this copy","Primary Plate Location",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}/platelocation' }",,,,,
plate_locations,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/plate_locations/,custom,,6,,TRUE,"The number different plate locations found for plates of this copy","Plate Locations",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}/platelocation' }",,,,,
primary_plate_status,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/primary_plate_status/,,,7,,TRUE,"The most common plate status for plates of this copy","Primary Plate Status",TRUE,,plate.status,[l;d],,string,,,,,,,
plates_available,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/plates_available/,custom,,8,,TRUE,"The number of plates with a status of 'Available'","Plates Available",TRUE,,,[l;d],,integer,,,,,,,
avg_plate_screening_count,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/avg_plate_screening_count/,custom,,9,,TRUE,"The average number of times the copy plates have been screened, ignoring replicates","Average Plate Screening Count",TRUE,,,[l;d],,decimal,,"{ 'decimals': 2 }",,,,,
avg_plate_cp_screening_count,fields.librarycopy,/reports/api/v1/field/fields.librarycopy/avg_plate_cp_screening_count/,custom,,9,,TRUE,"The average number of times the copy plates have been screened for a cherry pick, ignoring replicates","Average Plate Cherry Pick Screening Count",TRUE,,,[l;d],,decimal,,"{ 'decimals': 2 }",,,,,
