key,scope,resource_uri,table,field,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,alias,is_restricted,nested_resource,value_template
library_short_name,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/library_short_name/,library,short_name,0,,TRUE,"The library short name",Library,TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}' }",,,,,
plate_number,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/plate_number/,,,1,,TRUE,"Plate number",Plate,TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}/plate/{plate_number}' }",,,,,
copy_name,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/copy_name/,copy,name,2,,TRUE,"Copy name",Copy,TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}' }",,,,,
copy_usage_type,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/copy_usage_type/,copy,usage_type,2,,TRUE,"Copy usage type","Copy Usage Type",TRUE,,copy.usage_type,[l;d],,string,,,select,,,,
screen_type,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/screen_type/,library,screen_type,2,,TRUE,"Screen Type","Screen Type",TRUE,,screen.type,[d],,string,,,select,,,,
status,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/status/,plate,status,3,,TRUE,"The plate status",Status,TRUE,,plate.status,[l;d],[u],string,,,select,,,,
status_date,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/status_date/,custom,,4,,TRUE,"The date on which the status took effect","Status date",TRUE,,,[l;d],,date,,,,,,,
status_performed_by,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/status_performed_by/,custom,,4,,TRUE,"The person that performed the activity appropriate for the plate status","Status Change Performed By",TRUE,,,[d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{status_performed_by_id}' }",,,,,
status_performed_by_username,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/status_performed_by_username/,custom,,4,,TRUE,"The person that performed the activity appropriate for the plate status","Status Change Performed By ID",TRUE,,,,,string,,,,,,,
room,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/room/,plate_location,,5,,TRUE,"Room where the plate is stored",Room,TRUE,,,[d],[u],string,link,"{ 'hrefTemplate': '#platelocation/search/room={room}' }",,,,,
freezer,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/freezer/,plate_location,,6,,TRUE,"Freezer where the plate is stored",Freezer,TRUE,,,[d],[u],string,link,"{ 'hrefTemplate': '#platelocation/search/room={room};freezer={freezer}' }",,,,,
shelf,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/shelf/,plate_location,,7,,TRUE,"Shelf upon which the plate is stored",Shelf,TRUE,,,[d],[u],string,link,"{ 'hrefTemplate': '#platelocation/search/room={room};shelf={shelf};freezer={freezer}' }",,,,,
bin,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/bin/,plate_location,,8,,TRUE,"Bin in which the plate is stored",Bin,TRUE,,,[d],[u],string,link,"{ 'hrefTemplate': '#platelocation/{room}/{freezer}/{shelf}/{bin}' }",,,,,
location,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/location/,custom,,8,,FALSE,Location,Location,TRUE,,,[l],,string,link,"{ 'hrefTemplate': '#platelocation/{room}/{freezer}/{shelf}/{bin}' }",,,,,{room}-{freezer}-{shelf}-{bin}
experimental_copy_well_count,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/experimental_copy_well_count/,custom,,9,,TRUE,"Count of experimental copy wells on this plate","Experimental Wells",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}/copywell/search/library_well_type__in=experimental;plate_number__eq={plate_number}' }",,,,,
plate_type,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/plate_type/,,,9,,TRUE,"The plate type","Plate Type",TRUE,,plate.type,[l;d],[u],string,,,select,,,,
well_volume,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/well_volume/,,,10,,TRUE,"The volume of each well of the plate when it was created","Initial Well Volume",TRUE,,,[l;d],[c],decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
remaining_well_volume,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/remaining_well_volume/,,,11,,TRUE,"Plate wide volume remaining statistic (can be overridden at the copy well)","Remaining Well Volume",TRUE,,,[l;d],[u],decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
avg_remaining_volume,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/avg_remaining_volume/,custom,,12,,TRUE,"Average Remaining Volume for the Wells of this Plate","Average Remaining Volume",TRUE,,,[l;d],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
min_remaining_volume,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/min_remaining_volume/,custom,,13,,TRUE,"Min Remaining Volume for the Wells of this Plate","Min Remaining Volume",TRUE,,,[d],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
max_remaining_volume,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/max_remaining_volume/,custom,,14,,TRUE,"Max Remaining Volume for the Wells of this Plate","Max Remaining Volume",TRUE,,,[d],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'L', 'defaultUnit': 1e-6 }",,,,,
molar_concentration,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/molar_concentration/,,,20,,TRUE,"Molar Concentration","Molar Concentration",TRUE,,,[l;d],[c;u],decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-3, 'hideIfEmpty': true }",,,,,
mg_ml_concentration,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/mg_ml_concentration/,,,21,,TRUE,"mg/ml Concentration","mg/ml Concentration",TRUE,,,[l;d],[c;u],decimal,,"{ 'hideIfEmpty': true }",,,,,
min_molar_concentration,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/min_molar_concentration/,custom,,23,,TRUE,"The minimum Molar concentration of wells for this copy plate","Min Molar Concentration",TRUE,,,[d],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-3 }",,,,,
max_molar_concentration,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/max_molar_concentration/,custom,,24,,TRUE,"The maximum Molar concentration of wells for this copy plate","Max Molar Concentration",TRUE,,,[d],,decimal,siunit,"{ 'decimals': 3, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-3 }",,,,,
min_mg_ml_concentration,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/min_mg_ml_concentration/,custom,,25,,TRUE,"The minimum mg/ml concentration of wells for this copy plate","Min mg/ml Concentration",TRUE,,,[d],,decimal,,"{ 'decimals': 2 }",,,,,
max_mg_ml_concentration,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/max_mg_ml_concentration/,custom,,26,,TRUE,"The maximum mg/ml concentration of wells for this copy plate","Max mg/ml Concentration",TRUE,,,[d],,decimal,,"{ 'decimals': 2 }",,,,,
facility_id,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/facility_id/,,,27,,TRUE,"The identifier used by the facility to uniquely identify the plate","Facility ID",TRUE,,,[d],,string,,,,,,,
date_plated,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/date_plated/,,,28,,TRUE,"The date the plate was created","Date Plated",TRUE,,,[l;d],,date,,,,,,,
date_retired,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/date_retired/,,,29,,TRUE,"The date the plate was retired","Date Retired",TRUE,,,[l;d],,date,,,,,,,
screening_count,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/screening_count/,plate,,30,,TRUE,"The total number of times this plate has been thawed and refrozen for a plate screening activity","Screening Count",TRUE,,,[l;d],[c;u],integer,link,"{ 'hrefTemplate': '#libraryscreening/search/library_plates_screened__contains={copy_name}/{plate_number}' }",,,,,
cplt_screening_count,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/cplt_screening_count/,plate,,31,,TRUE,"The total number of times this plate has been thawed and refrozen for a cherry pick screening activity","Cherry Pick Screening Count",TRUE,,,[l;d],[c;u],integer,,,,,,,
first_date_screened,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/first_date_screened/,custom,,41,,TRUE,"The date the plate was first screened","First Date Screened",TRUE,,,[l;d],,date,,,,,,,
last_date_screened,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/last_date_screened/,custom,,42,,TRUE,"The date the plate was last screened","Last Date Screened",TRUE,,,[l;d],,date,,,,,,,
plate_id,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/plate_id/,,,45,,TRUE,"Internal Plate ID","Internal Plate ID",TRUE,,,,,integer,,,,,,,
copy_id,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/copy_id/,,,99,,TRUE,"Internal Copy ID","Copy ID",TRUE,,,,,integer,,,,,,,
librarycopyplate_id,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/librarycopyplate_id/,custom,,100,,TRUE,"Full Library Copy Plate ID (library_short_name/copy_name/plate_number)","Full Library Copy Plate ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}/plate/{plate_number}' }",,,,,
copyplate_id,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/copyplate_id/,custom,,101,"(Note that only the copy and plate number are needed to uniquely identify a librarycopyplte)",TRUE,"Unique Copy Plate ID (copy_name/plate_number)","Copy Plate ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/copy/{copy_name}/plate/{plate_number}' }",,,,,
comment_array,fields.librarycopyplate,/reports/api/v1/field/fields.librarycopyplate/comment_array/,custom,,102,,FALSE,"Comment sub array",Comments,FALSE,,,,,list,,,,,,,
