key,scope,table,field,resource_uri,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,nested_resource,required,regex,min
activity_id,fields.libraryscreening,activity,,/reports/api/v1/field/fields.libraryscreening/activity_id/,0,,TRUE,"Activity ID","Activity ID",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/summary/libraryscreening/{activity_id}' }",,,,,,
number_of_replicates,fields.libraryscreening,screening,,/reports/api/v1/field/fields.libraryscreening/number_of_replicates/,21,,TRUE,"Number of replicates",replicates,TRUE,,,[l;d;e],[c;u],integer,,"{ 'hrefTemplate': '#screen/{screen_facility_id}/libraryscreening/{activity_id}' }",,,,TRUE,,1
volume_transferred_per_well_to_assay_plates,fields.libraryscreening,screening,,/reports/api/v1/field/fields.libraryscreening/volume_transferred_per_well_to_assay_plates/,22,,TRUE,"Volume transferred per replicate","Volume transferred per replicate",TRUE,,,[l;d;e],[c;u],decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L' , 'defaultUnit': 1e-9, 'maxunit': 1e-6, 'minunit': 1e-9 }",,,,,,0
volume_transferred_per_well_from_library_plates,fields.libraryscreening,lab_activity,,/reports/api/v1/field/fields.libraryscreening/volume_transferred_per_well_from_library_plates/,23,,TRUE,"Total volume transferred per well from library plates","Total volume transferred per well from library plates",TRUE,,,[l;d;e],[c;u],decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'L' , 'defaultUnit': 1e-9, 'maxunit': 1e-6, 'minunit': 1e-9 }",,,,,,0
molar_concentration,fields.libraryscreening,lab_activity,,/reports/api/v1/field/fields.libraryscreening/molar_concentration/,20,"Todo: deprecated",TRUE,"Molar concentration","Molar Concentration",TRUE,,,,,decimal,siunit,"{ 'decimals': 1, 'multiplier': 1, 'symbol': 'M', 'defaultUnit': 1e-6, 'widthClass': 'col-sm-2', 'maxunit': 1 }",,,,,,0
serviced_user,fields.libraryscreening,custom,,/reports/api/v1/field/fields.libraryscreening/serviced_user/,100,,TRUE,"placeholder to override superclass settings",placeholder,TRUE,,,,,,,,,,,,,
funding_support,fields.libraryscreening,custom,,/reports/api/v1/field/fields.libraryscreening/funding_support/,101,,TRUE,"placeholder to override superclass settings",placeholder,TRUE,,,,,,,,,,,,,
comments,fields.libraryscreening,activity,,/reports/api/v1/field/fields.libraryscreening/comments/,30,,TRUE,Comments,Comments,TRUE,,,[l;d;e],[c;u],string,,,,,,,,
is_for_external_library_plates,fields.libraryscreening,library_screening,,/reports/api/v1/field/fields.libraryscreening/is_for_external_library_plates/,24,"Todo: deprecated",TRUE,"True if for plates from an external library","External Library Plates",TRUE,,,[l;d],[c;u],boolean,,,,,,,,
library_plates_screened,fields.libraryscreening,custom,,/reports/api/v1/field/fields.libraryscreening/library_plates_screened/,25,,FALSE,"Library Copy Plates Screened","Library Plates Screened",FALSE,,,[d;e],[c;u],list,,,custom,,,TRUE,(([^:]+):)?([^:]+):(\d+)(-(\d+))?,
assay_protocol_type,fields.libraryscreening,screening,,/reports/api/v1/field/fields.libraryscreening/assay_protocol_type/,26,"Todo: deprecated",TRUE,"Protocol type","Protocol Type",TRUE,,assayprotocol.type,,,string,,,select,,,,,
assay_protocol_last_modified_date,fields.libraryscreening,custom,,/reports/api/v1/field/fields.libraryscreening/assay_protocol_last_modified_date/,27,"Todo: deprecated",FALSE,"The date this assay protocol was last modified","Last Modified",FALSE,,,,,date,,,,,,,,
assay_protocol,fields.libraryscreening,screening,,/reports/api/v1/field/fields.libraryscreening/assay_protocol/,28,"Todo: deprecated",TRUE,"Assay protocol",Protocol,TRUE,,,,,string,,,textarea,,,,,
screened_experimental_well_count,fields.libraryscreening,,,/reports/api/v1/field/fields.libraryscreening/screened_experimental_well_count/,30,,TRUE,"Experimental Well Count","Experimental Well Count",TRUE,,,[d],,integer,,,,,,,,
libraries_screened_count,fields.libraryscreening,custom,,/reports/api/v1/field/fields.libraryscreening/libraries_screened_count/,31,,TRUE,"Libraries Screened Count","Libraries Screened Count",TRUE,,,[d],,integer,,,,,,,,
library_plates_screened_count,fields.libraryscreening,custom,,/reports/api/v1/field/fields.libraryscreening/library_plates_screened_count/,32,,TRUE,"Library Copy Plates Screened","Library Copy Plates Screened",TRUE,,,[d],,integer,,,,,,,,
screen_facility_id,fields.libraryscreening,screen,facility_id,/reports/api/v1/field/fields.libraryscreening/screen_facility_id/,5,,TRUE,"Screen Facility ID",Screen,TRUE,,,[l],[c],string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,,TRUE,,
