key,scope,table,field,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,nested_resource,default,required,min,max,regex,validation_message
screen_facility_id,fields.rawdataoutput,,,0,,TRUE,"Screen facility ID",Screen,TRUE,,,[d],,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}', 'group': 'Screen' }",,,,,,,,,
cherry_pick_request_id,fields.rawdataoutput,,,1,,TRUE,"Cherry pick request ID","Cherry Pick Request ID",TRUE,,,[d],,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}' }",,,,,,,,,
plate_number,fields.rawdataoutput,,,2,,TRUE,"Plate number",Plate,TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#library/{library_short_name}/plate/search/plate_number_eq={plate_number}/',  'orderSeparator': ''  }",,,,,,,,,
well_name,fields.rawdataoutput,,,3,,TRUE,"Well name [row-letter][column number]",Well,TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/well/{well_id}' }",,,,,,,,,
type,fields.rawdataoutput,,,4,,TRUE,"Assay well type","Well Type",TRUE,,rawdataoutput.well_type,[l;d],,string,,,,,,,,,,,
is_excluded,fields.rawdataoutput,,,5,,TRUE,"Is well excluded from results","Is Excluded",TRUE,,,[l;d],,boolean,,,,,,,,,,,
pre_loaded_controls,fields.rawdataoutput,,,6,,TRUE,"Pre-loaded controls","Pre-loaded Controls",TRUE,,,[l;d],,string,,,,,,,,,,,
vendor_name,fields.rawdataoutput,,,7,,TRUE,"The vendor of the reagent of this well.","Reagent Vendor",TRUE,,,,,string,,,,,,,,,,,
vendor_identifier,fields.rawdataoutput,,,8,,TRUE,"The vendor-assigned identifier for the reagent in this well.","Vendor Reagent ID",TRUE,,,[l;d],,string,,,,,,,,,,,
vendor_batch_id,fields.rawdataoutput,,,9,,TRUE,"The vendor-assigned batch identifier for the reagent in this well.","Vendor Batch ID",TRUE,,,[l;d],,string,,,,,,,,,,,
vendor_entrezgene_symbols,fields.rawdataoutput,,,10,"SIRNA specific field",TRUE,"Vendor EntrezGene symbols","Vendor EntrezGene Symbols",TRUE,,,,,list,,,,,,,,,,,
vendor_entrezgene_id,fields.rawdataoutput,,,11,"SIRNA specific field",TRUE,"Vendor EntrezGene ID","Vendor EntrezGene ID",TRUE,,,,,string,,,,,,,,,,,
vendor_genbank_accession_numbers,fields.rawdataoutput,,,12,"SIRNA specific field",TRUE,"Vendor GenBank accession numbers","Vendor GenBank Accession Numbers",TRUE,,,,,list,,,,,,,,,,,
vendor_gene_name,fields.rawdataoutput,,,13,"SIRNA specific field",TRUE,"Vendor gene name","Gene Name",TRUE,,,,,string,,,,,,,,,,,
is_deprecated,fields.rawdataoutput,,,14,"SIRNA specific field",TRUE,"Is the well deprecated","Is Deprecated",TRUE,,,,,boolean,,,,,,,,,,,
