key,scope,table,field,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,nested_resource,default,required,min,max,regex,validation_message
cherry_pick_request_id,fields.rawdatatransform,,,0,,TRUE,"Cherry pick request ID","Cherry Pick Request ID",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}', 'hideIfEmpty': true  }",,,,,,,,,
screen_facility_id,fields.rawdatatransform,,,1,,TRUE,"Screen facility ID","Screen Facility ID",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}', 'hideIfEmpty': true  }",,,,,,,,,
plate_ranges,fields.rawdatatransform,,,2,,TRUE,"Plate ranges","Plate Ranges",TRUE,,,[l;d],[c;u],string,,"{ 'rows': 2 }",textarea,,,,TRUE,,,,
output_filename,fields.rawdatatransform,,,3,,TRUE,"Output filename (no extension is required)","Output Filename",TRUE,,,[l;d],[c;u],string,,,,,,,TRUE,,,,
output_sheet_option,fields.rawdatatransform,,,4,,TRUE,"Output sheet option","Output Format",TRUE,,rawdatainput.outputsheetoption,[l;d],[c;u],string,,,select,,,plate_per_worksheet,TRUE,,,,
assay_plate_size,fields.rawdatatransform,,,5,,TRUE,"Assay plate size","Assay Plate Size",TRUE,,plate.size,[l;d],[c;u],integer,,"{ 'orderSeparator': '' }",select,,,384,TRUE,,,,
assay_positive_controls,fields.rawdatatransform,,,6,,TRUE,"Assay positive control wells","Assay Positive Controls",TRUE,,,[l;d],[c;u],string,,"{ 'rows': 2 }",textarea,,,,,,,,
assay_negative_controls,fields.rawdatatransform,,,7,,TRUE,"Assay negative control wells","Assay Negative Controls",TRUE,,,[l;d],[c;u],string,,"{ 'rows': 2 }",textarea,,,,,,,,
assay_other_controls,fields.rawdatatransform,,,8,,TRUE,"Assay other control wells","Assay Other Controls",TRUE,,,[l;d],[c;u],string,,"{ 'rows': 2 }",textarea,,,,,,,,
library_plate_size,fields.rawdatatransform,,,9,,TRUE,"Library plate size","Library Plate Size",TRUE,,plate.size,[l;d],[c;u],integer,,"{ 'orderSeparator': '' }",select,,,384,TRUE,,,,
library_controls,fields.rawdatatransform,,,10,,TRUE,"Library controls","Library Controls",TRUE,,,[l;d],[c;u],string,,"{ 'rows': 2 }",textarea,,,,,,,,
comments,fields.rawdatatransform,,,11,,TRUE,Comments,Comments,TRUE,,,[l;d],[c;u],string,,,textarea,,,,,,,,
