key,scope,resource_uri,ordinal,table,field,ordinal_field,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,is_restricted,required,alphanumeric_sort
selected,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/selected/,0,,,,,TRUE,"If True, then this well will be submitted as a lab cherry pick selection",Selected,TRUE,,,,[l],boolean,,,,,,
cherry_pick_request_id,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/cherry_pick_request_id/,0,,,,,TRUE,"Cherry pick request ID","Cherry Pick Request ID",TRUE,,,[d],,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}/cherrypickrequest/{cherry_pick_request_id}' }",,,,
library_name,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/library_name/,1,library,library_name,,,TRUE,"Selected well library name","Selected Library Name",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}' }",,,,
library_plate,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/library_plate/,2,well,plate_number,,,TRUE,"Selected well plate number","Selected Library Plate",TRUE,,,[l;d],,integer,link,"{ 'hrefTemplate': '#library/{library_short_name}/plate/{library_plate}',  'orderSeparator': ''  }",,,,
screened_well_name,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/screened_well_name/,3,well,well_name,,,TRUE,"Selected well name","Selected Well Name",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/well/{screened_well_id}' }",,,,
screened_well_id,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/screened_well_id/,4,,,,,TRUE,"Selected well ID","Selected Well",TRUE,,,[l;d],,string,link,"{ 'hrefTemplate': '#library/{library_short_name}/well/{screened_well_id}' }",,,,
searched_well_id,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/searched_well_id/,5,,,,,TRUE,"Screener cherry pick well","Searched Well",TRUE,,,,,string,link,"{ 'hrefTemplate': '#well/{searched_well_id}' }",,,,
vendor_name,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/vendor_name/,6,reagent,,,,TRUE,"Vendor name","Vendor Name",TRUE,,,[l;d],,string,,,,,,
vendor_identifier,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/vendor_identifier/,7,reagent,,,,TRUE,"The vendor-assigned identifier for the reagent in this well","Reagent Vendor Identifier",TRUE,,,[l;d],,string,,,,,,
screen_facility_id,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/screen_facility_id/,11,screen,facility_id,,,TRUE,"Screen facility ID","Screen Facility ID",TRUE,,,,,string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,,TRUE
library_short_name,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/library_short_name/,1,library,short_name,,,TRUE,"Library short name","Library Short Name",TRUE,,,,,string,link,"{ 'hrefTemplate': '#library/{library_short_name}' }",,,,
screener_cherry_pick_id,fields.screenercherrypick,/reports/api/v1/field/fields.screenercherrypick/screener_cherry_pick_id/,99,,,,,TRUE,"Internal screener cherry pick id","Screener Cherry Pick ID",TRUE,,,[api],,string,,,,,,
