key,scope,table,field,ordinal,comment,filtering,description,title,ordering,vocabulary_scope_ref,visibility,editability,data_type,display_type,display_options,edit_type,alias,is_restricted,regex,required,view_groups,data_access_level
screensaver_user_id,fields.screensaveruser,,,0,"Arbitrarily assigned internal user ID for the User",TRUE,"The internal user ID","Screensaver User ID",TRUE,,[d],,integer,link,"{ 'hrefTemplate': '#screensaveruser/{username}' }",,,,,,[readEverythingAdmin],
username,fields.screensaveruser,reports_userprofile,,1,,TRUE,Username,Username,TRUE,,[l;d],[c],string,link,"{ 'hrefTemplate': '#screensaveruser/{username}' }",,,,,,,1
name,fields.screensaveruser,custom,,2,,TRUE,"The full name of the user (last, first)",Name,TRUE,,[l;d],,string,,,,,,,,,1
first_name,fields.screensaveruser,auth_user,,3,,TRUE,"First Name","First Name",TRUE,,[e],[c;u],string,,,,,,,TRUE,,1
last_name,fields.screensaveruser,auth_user,,4,,TRUE,"Last Name","Last Name",TRUE,,[e],[c;u],string,,,,,,,TRUE,,1
classification,fields.screensaveruser,,,5,,TRUE,"The user's classification",Classification,TRUE,user.classification,[l;d],[c;u],string,,,select,,,,,,3
lab_name,fields.screensaveruser,,,6,,TRUE,"The name of the user's current lab","Lab Name",TRUE,,[d],,string,link,"{ 'hrefTemplate': '#screensaveruser/{lab_head_username}' }",,,,,,,1
lab_head_username,fields.screensaveruser,,,7,,TRUE,"The username of the user's current lab head","Lab Head",TRUE,,,[c;u],string,,"{ 'widthClass': 'col-sm-8' }",select,,,,,,1
lab_affiliation_id,fields.screensaveruser,,,8,,TRUE,"Lab Affiliation ID","Principal Investigator Lab Affiliation",TRUE,,,[c;u],integer,link,"{ 'hrefTemplate': '#labaffiliation/{lab_affiliation_id}', 'widthClass': 'col-sm-8' }",select,,,,,,1
lab_affiliation_name,fields.screensaveruser,,,9,,TRUE,"Lab Affiliation Name","Principal Investigator Lab Affiliation Name",TRUE,,,,string,,,,,,,,,1
lab_affiliation_category,fields.screensaveruser,,,10,,TRUE,"Lab Affiliation Category","Lab Affiliation Category",TRUE,lab_affiliation.category,,,string,,,select,,,,,,1
lab_member_usernames,fields.screensaveruser,custom,,11,,TRUE,"Lab Member Usernames","Lab Members",TRUE,,,[c;u],list,link,"{ 'hrefTemplate': '#screensaveruser/{__val__}' }",multiselect3,,,,,,1
lab_member_names,fields.screensaveruser,custom,,12,,TRUE,"Lab Member Names","Lab Member Names",TRUE,,,,list,,,,,,,,,1
email,fields.screensaveruser,auth_user,,13,,TRUE,Email,Email,TRUE,,[l;d],[c;u],string,,"{ 'maxlength': '100' }",,,,"^[\w\-]{1,}([\w\-\+.]{1,1}[\w\-]{1,}){0,}[@][\w\-]{1,}([.]([\w\-]{1,})){1,3}$",,,1
ecommons_id,fields.screensaveruser,reports_userprofile,,14,,TRUE,Ecommons,Ecommons,TRUE,,[l;d],[c],string,,,,,,^\w+$,,[readEverythingAdmin],
harvard_id,fields.screensaveruser,,,15,,TRUE,"The Harvard ID of the user","Harvard ID",TRUE,,[l;d],[c;u],string,,,,,,,,[readEverythingAdmin],
harvard_id_expiration_date,fields.screensaveruser,,,16,,TRUE,"The date this user's Harvard ID is initially set to expire","Harvard ID Initial Expiration Date",TRUE,,,[c;u],date,,,,,,,,[readEverythingAdmin],
harvard_id_requested_expiration_date,fields.screensaveruser,,,17,,TRUE,"The requested date when the user's Harvard ID will expire","Harvard ID Requested Expiration Date",TRUE,,,[c;u],date,,,,,,,,[readEverythingAdmin],
gender,fields.screensaveruser,reports_userprofile,,18,,TRUE,"The gender of the user",Gender,TRUE,user.gender,[l;d],[c;u],string,,,select,,,,,,1
phone,fields.screensaveruser,reports_userprofile,,19,,TRUE,"The phone number for this user",Phone,TRUE,,[l;d],[c;u],string,,,,,,,,,1
mailing_address,fields.screensaveruser,reports_userprofile,,20,,TRUE,"The mailing address of the user","Mailing Address",TRUE,,[l;d],[c;u],string,,"{ 'rows': 4 }",textarea,,,,,,3
comments,fields.screensaveruser,,,21,,TRUE,"Comments about this user",Comments,TRUE,,[d],[c;u],string,,"{ 'rows': 4 }",textarea,,,,,[readEverythingAdmin],
facility_usage_roles,fields.screensaveruser,custom,,22,,TRUE,"Facility Usage Roles","Facility Usage Roles",TRUE,user.facilityusagerole,[d],[c;u],list,,"{ 'placeholder': 'Select roles' }",multiselect3,,,,,,3
screens_lead,fields.screensaveruser,custom,,24,,TRUE,"Screens for which this user is a lead screener","Screens Led",TRUE,,,,list,link,"{ 'hrefTemplate': '#screen/{__val__}' }",,,,,,,3
screens_lab_head,fields.screensaveruser,custom,,25,,TRUE,"Screens for which this user is a lab head","Lab Head for Screens",TRUE,,,,list,link,"{ 'hrefTemplate': '#screen/{__val__}' }",,,,,,,3
screens_collaborator,fields.screensaveruser,custom,,26,,TRUE,"Screens for which this user is a collaborator","Screens collaborating",TRUE,,,,list,link,"{ 'hrefTemplate': '#screen/{__val__}' }",,,,,,,3
screens,fields.screensaveruser,custom,,27,,TRUE,"Screens for which this user is a member","Own Screens",TRUE,,,,list,link,"{ 'hrefTemplate': '#screen/{__val__}' }",,,,,,,3
permissions,fields.user,,,155,,TRUE,"Permissions assigned directly to the user","User Permissions",TRUE,,,[c;u],list,,,multiselect2,,,,,[readEverythingAdmin],
usergroups,fields.user,,,150,,TRUE,"Groups that the user belongs to","User Groups",TRUE,,,[c;u],list,link,"{ 'hrefTemplate': '#usergroup/{value}' }",multiselect2,,,,,[readEverythingAdmin],
all_permissions,fields.user,,,156,,TRUE,"combined user/group permissions","All Permissions",TRUE,,,,list,link,,,,,,,[readEverythingAdmin],
date_created,fields.screensaveruser,,,100,,TRUE,"The date the user's account was first recorded in Screensaver","Date Recorded",TRUE,,[l;d],,date,,,,,,,,[readEverythingAdmin],
sm_data_sharing_level,fields.screensaveruser,,,101,,TRUE,"Small Molecule Data Sharing Level","Small Molecule Data Sharing Level",TRUE,screensaveruser.data_sharing_level,,,integer,,,,,,,,,3
rnai_data_sharing_level,fields.screensaveruser,,,102,,TRUE,"RNAi Data Sharing Level","RNAi Data Sharing Level",TRUE,screensaveruser.data_sharing_level,,,integer,,,,,,,,,3
