key,scope,resource_uri,ordinal,comment,ui_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,alias,backgrid_cell_type,backgrid_cell_options,is_restricted
screenresult_last_imported,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/screenresult_last_imported/,0,,string,TRUE,"The date the current screen results were loaded into the database","Last Data Loading Date",TRUE,,,"[list;detail]",,,,
libraries_screened,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/libraries_screened/,1,,string,TRUE,"The number of libraries that have been screened","Libraries Screened",TRUE,,,"[list;detail]",,,,
library_plates_screened,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/library_plates_screened/,2,,string,TRUE,"The number of library plates that have been screened","Library Plates Screened",TRUE,,,"[list;detail]",,,,
library_plates_data_loaded,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/library_plates_data_loaded/,3,,string,TRUE,"The number of library plates that have raw data loaded into the system","Library Plates Data Loaded",TRUE,,,"[list;detail]",,,,
library_plates_data_analyzed,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/library_plates_data_analyzed/,4,,string,TRUE,"The number of library plates that have been analyzed for positives","Library Plates Analyzed",TRUE,,,"[list;detail]",,,,
screened_experimental_well_count,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/screened_experimental_well_count/,5,,string,TRUE,"The number of experimental library wells that have been screened, ignoring replicates","Experimental Wells Screened",TRUE,,,"[list;detail]",,,,
loaded_experimental_well_count,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/loaded_experimental_well_count/,6,,string,TRUE,"The number of unique experimental wells for which data have been loaded","Experimental Wells Loaded (unique)",TRUE,,,"[list;detail]",,,,
data_screened_replicate_count,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/data_screened_replicate_count/,7,,string,TRUE,"The number of replicates that have been screened (min...max if replicate count varies across library plates)","Replicates Screened",TRUE,,,"[list;detail]",,,,
data_loaded_replicate_count,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/data_loaded_replicate_count/,8,,string,TRUE,"The number of replicates represented in the loaded screen result data (min...max if replicate count varies across library plates)","Replicates Data Loaded",TRUE,,,"[list;detail]",,,,
assay_readout_types,fields.screensummary,/reports/api/v1/metahash/fields.screensummary/assay_readout_types/,8,,string,TRUE,"The assay readout types used","Assay Readout Types",TRUE,,,"[list;detail]",,,,
