key,scope,resource_uri,ordinal,linked_field_type,linked_field_module,table,field,ordinal_field,linked_field_value_field,linked_field_parent,linked_field_meta_field,comment,data_type,display_type,display_options,edit_type,filtering,description,title,ordering,vocabulary_scope_ref,visibility,editability,alias,value_template,is_restricted,default,required,min,max,regex,validation_message
smiles,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/smiles/,30,fields.CharField,,,,,smiles,reagent,,,string,,,,TRUE,"Simplified molecular-input line-entry",SMILES,TRUE,,[d;report],[c;u],,,,,,,,,
inchi,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/inchi/,31,fields.CharField,,,,,inchi,reagent,,,string,,,,TRUE,"IUPAC International Chemical Identifier",InChI,TRUE,,[d;report],[c;u],,,,,,,,,
molecular_formula,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molecular_formula/,32,fields.CharField,,,,,molecular_formula,reagent,,,string,,,,TRUE,"Molecular Formula","Molecular Formula",TRUE,,[d;report],[c;u],,,,,,,,,
molecular_mass,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molecular_mass/,33,,,,,,molecular_mass,reagent,,,decimal,,,,TRUE,"Molecular Mass","Molecular Mass",TRUE,,[d;report],[c;u],,,,,,,,,
molecular_weight,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molecular_weight/,34,,,,,,molecular_weight,reagent,,,decimal,,,,TRUE,"Molecular Weight","Molecular Weight",TRUE,,[d;report],[c;u],,,,,,,,,
compound_name,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/compound_name/,35,fields.ListField,db.models.SmallMoleculeCompoundName,small_molecule_compound_name,,ordinal,compound_name,reagent,,,list,,,,TRUE,"Compound Names","Compound Names",TRUE,,[l;d;report],[c;u],,,,,,,,,
pubchem_cid,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/pubchem_cid/,36,fields.ListField,db.models.SmallMoleculePubchemCid,small_molecule_pubchem_cid,,id,pubchem_cid,reagent,,,list,link,"{ 'hrefTemplate': 'http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid={__val__}', 'target': '_blank' }",,TRUE,"PubChem CIDs: see http://pubchem.ncbi.nlm.nih.gov/","PubChem CIDs",TRUE,,[d;report],[c;u],,,,,,,,,
chembank_id,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/chembank_id/,37,fields.ListField,db.models.SmallMoleculeChembankId,small_molecule_chembank_id,,id,chembank_id,reagent,,,list,link,"{ 'hrefTemplate': 'http://chembank.broad.harvard.edu/chemistry/viewMolecule.htm?cbid={__val__}', 'target': '_blank' }",,TRUE,"ChemBank Ids: see http://chembank.broadinstitute.org/","ChemBank Ids",TRUE,,[d;report],[c;u],,,,,,,,,
chembl_id,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/chembl_id/,38,fields.ListField,db.models.SmallMoleculeChemblId,small_molecule_chembl_id,,id,chembl_id,reagent,,,list,link,"{ 'hrefTemplate': 'http://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL{__val__}', 'target': '_blank' }",,TRUE,"ChEMBL Ids: see https://www.ebi.ac.uk/chembl/","ChEMBL Ids",TRUE,,[d;report],[c;u],,,,,,,,,
is_restricted_structure,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/is_restricted_structure/,99,,,,,,is_restricted_structure,reagent,,,boolean,,,,TRUE,"Is Restricted","Is Restricted",TRUE,,[d;report],[c;u],,,,,,,,,
molfile,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/molfile/,99,fields.CharField,db.models.Molfile,molfile,,,molfile,reagent,,,string,,,,FALSE,Molfile,Molfile,FALSE,,[none],[c;u],,,,,,,,,
structure_image,fields.smallmoleculereagent,/reports/api/v1/field/fields.smallmoleculereagent/structure_image/,3,,,,,,,,,"URL for the image src",string,image,"{ 'hideIfEmpty': true }",,FALSE,"Structure image for this compound","Structure Image",FALSE,,[d;report],,,/db/well_image/{well_id},,,,,,,
