key,scope,resource_uri,table,field,ordinal,comment,data_type,display_type,display_options,edit_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,editability
username,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/username/,screensaver_user,,0,,string,link,"{ 'hrefTemplate': '#screensaveruser/{username}' }",,TRUE,Username,Username,TRUE,,,[d],[c]
user_name,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/user_name/,custom,,1,,string,link,"{ 'hrefTemplate': '#screensaveruser/{username}' }",,TRUE,"The full name of the user (last, first)","User Name",TRUE,,,[d],
name,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/name/,,,3,,string,link,"{ 'hrefTemplate': '#userchecklist/{username}/{name}' }",select,TRUE,"Checklist Item Name",Name,TRUE,,userchecklist.name,[l;d],[c]
status,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/status/,custom,,4,,string,,,,TRUE,"Checklist Item Status",Status,TRUE,,userchecklist.status,[l;d],
is_checked,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/is_checked/,,,4,,boolean,,,,TRUE,"Is Checked","Is Checked",TRUE,,,,[c;u]
date_effective,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/date_effective/,,,5,,date,,,,TRUE,"Effective Date",Date,TRUE,,,[l;d],[c;u]
date_notified,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/date_notified/,,,6,,date,,,,TRUE,"Date Notified","Date Notified",TRUE,,,[d],[c;u]
admin_username,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/admin_username/,custom,,7,,string,link,"{ 'hrefTemplate': '#screensaveruser/{admin_username}' }",,TRUE,"Admin Username","Admin Username",TRUE,,,,[c;u]
admin_name,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/admin_name/,custom,,8,,string,link,"{ 'hrefTemplate': '#screensaveruser/{admin_username}' }",select,TRUE,"The full name of the administative user who performed this operation","Admin User Name",TRUE,,,[l;d],
is_retired,fields.userchecklist,/reports/api/v1/field/fields.userchecklist/is_retired/,custom,,9,,boolean,,,,TRUE,"Is Retired","Is Retired",TRUE,,,[d],
