key,scope,table,field,resource_uri,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,data_type,display_type,display_options,editor_type,is_restricted,nested_resource,default,required,min,max,regex,validation_message
well_id,fields.well,,,/reports/api/v1/metahash/fields.well/well_id/,0,,TRUE,"Well ID [plate number]:[well_name]","Well ID",TRUE,,,[detail],string,link,"{ ""hrefTemplate"": ""#library/{library_short_name}/well/{well_id}"" }",,,,,TRUE,,,,
plate_number,fields.well,,,/reports/api/v1/metahash/fields.well/plate_number/,1,,TRUE,"Plate number",Plate,TRUE,,,[list;detail],integer,link,"{ ""hrefTemplate"": ""#library/{library_short_name}/plate/search/plate_number_eq={plate_number}/"" }",,,,,TRUE,,,,
well_name,fields.well,,,/reports/api/v1/metahash/fields.well/well_name/,2,,TRUE,"Well name [row-letter][column number]","Well Name",TRUE,,,[list;detail],string,link,"{ ""hrefTemplate"": ""#library/{library_short_name}/well/{well_id}"" }",,,,,,,,,
library_short_name,fields.well,library,short_name,/reports/api/v1/metahash/fields.well/library_short_name/,3,,TRUE,"Library short name",Library,TRUE,,,[list],string,link,"{ ""hrefTemplate"": ""#library/{library_short_name}"" }",,,,,TRUE,,,,
library_name,fields.well,library,library_name,/reports/api/v1/metahash/fields.well/library_name/,4,,TRUE,"Library name",Library,TRUE,,,[detail],string,link,"{ ""hrefTemplate"": ""#library/{library_short_name}"" }",,,,,,,,,
screen_type,fields.well,library,screen_type,/reports/api/v1/metahash/fields.well/screen_type/,5,,TRUE,"The library screen type","Screen Type",TRUE,,screen.type,[detail],string,,,select,,,,,,,,
library_well_type,fields.well,,,/reports/api/v1/metahash/fields.well/library_well_type/,6,,TRUE,"Library well type","Library Well Type",TRUE,,library.well_type,[list;detail],string,,,select,,,,TRUE,,,,
library,fields.well,,library_id,/reports/api/v1/metahash/fields.well/library/,99,,TRUE,Library,Library,FALSE,,,,strinng,,,,,,,,,,,
facility_id,fields.well,,,/reports/api/v1/metahash/fields.well/facility_id/,7,,TRUE,"ID assigned by the local authority","Facility ID",TRUE,,,[detail],string,,,,,,,,,,,
mg_ml_concentration,fields.well,,,/reports/api/v1/metahash/fields.well/mg_ml_concentration/,50,,TRUE,"Concentration in mg/ml","Concentration (mg/ml)",TRUE,,,[detail],decimal,,,,,,,,,,,
molar_concentration,fields.well,,,/reports/api/v1/metahash/fields.well/molar_concentration/,51,,TRUE,"Molar Concentration","Molar Concentration",TRUE,,,[detail],decimal,siunit,"{ ""decimals"": 3, ""multiplier"": 1, ""symbol"": ""M"" }",,,,,,,,,
