key,scope,table,id_attribute,title_attribute,resource_uri,ordinal,comment,description,title,visibility,alias,is_restricted,api_name,linked_table_module,supertype,content_types,require_comment_on_save
screensaveruser,resource,screensaver_user,[username],"[first_name;' ';last_name;' (';username;)]",/reports/api/v1/resource/screensaveruser/,0,,"The Screensaver user resource","Screensaver User",[l;d;e;c],,,db,reports.model.User,user,[xls],
screen,resource,screen,[facility_id],"[facility_id;': ';title]",/reports/api/v1/resource/screen/,0,,"The Screen resources",Screen,[l;d;e;c],,,db,,,[xls],
study,resource,screen,[facility_id],"[facility_id;': ';title]",/reports/api/v1/resource/study/,0,,"Study Resource",Study,[l;d;e;c],,,db,,,[xls],
screenresult,resource,assay_well,[screen_facility_id;well_id],[screen_facility_id;/;well_id],/reports/api/v1/resource/screenresult/,0,,"The Screen result resource","Screen Result",[l;d],,,db,,,[xls;sdf],TRUE
datacolumn,resource,data_column,[data_column_id],[name],/reports/api/v1/resource/datacolumn/,0,,"The Screen Result Datacolumn resource","Data Column",[l;d],,,db,,,[xls],TRUE
library,resource,library,[short_name],[short_name],/reports/api/v1/resource/library/,0,,"The reagent library resource",Library,[l;d;e;c],,,db,,,[xls],TRUE
librarycopy,resource,copy,[library_short_name;copy_name],"[library_short_name;': Copy: ';copy_name]",/reports/api/v1/resource/librarycopy/,0,,"A copy of the library",Copy,[l;d;e;c],,,db,,,[xls],
librarycopyplate,resource,plate,[library_short_name;copy_name;plate_number],"[library_short_name;': ';copy_name;': ';plate_number]",/reports/api/v1/resource/librarycopy/,0,,"A plate in a copy of the library","Copy Plate",[l;d;e],,,db,,,[xls],
platelocation,resource,plate_location,[room;freezer;shelf;bin],[room;'-';freezer;'-';shelf;'-';bin],/reports/api/v1/resource/platelocation/,0,,"Location of a library copy plate","Copy Plate Location",[l;d;e;c],,,db,,,[xls],
well,resource,well,[well_id],[well_id],/reports/api/v1/resource/well/,0,,"A well on a library source plate","Library Well",[l;d;e],,,db,,,[xls],
activity,resource,activity,[activity_id],[activity_id],/reports/api/v1/resource/activity/,0,,"Log of an administrative activity",Activity,[l;d;e;c],,,db,,,[xls],
serviceactivity,resource,service_activity,[activity_id],"[activity_type;' - ';activity_id]",/reports/api/v1/resource/serviceactivity/,0,,"Log of a service activity performed for a screensaver user","Service Activity",[l;d;e;c],,,db,,activity,[xls],
libraryscreening,resource,library_screening,[activity_id],[activity_id],/reports/api/v1/resource/libraryscreening/,0,,"Library Screening","Library Screening",[l;d;e;c],,,db,,activity,[xls],
cherrypickscreening,resource,cherry_pick_screening,[activity_id],[activity_id],/reports/api/v1/resource/cherrypickscreening/,0,,"Cherry Pick Screening","Cherry Pick Screening",[l;d;e;c],,,db,,activity,[xls],
cplt,resource,cherry_pick_liquid_transfer,[activity_id],"[type;' - ';activity_id]",/reports/api/v1/resource/cplt/,0,,"Cherry pick liquid transfer","Cherry Pick Liquid Transfer",[l;d;e;c],,,db,,activity,[xls],
reagent,resource,reagent,[substance_id],[well_id],/reports/api/v1/resource/reagent/,0,,"A general reagent",Reagent,[l;d;e],,,db,,well,[xls],
smallmoleculereagent,resource,small_molecule_reagent,[substance_id],[well_id],/reports/api/v1/resource/smallmoleculereagent/,0,,"A reagent in a library well.","Small Molecule Reagent",[l;d;e],,,db,db.models.SmallMoleculeReagent,reagent,[xls;sdf],
silencingreagent,resource,silencing_reagent,[substance_id],[well_id],/reports/api/v1/resource/silencingreagent/,0,,"A reagent in a library well.","Silencing Reagent",[l;d;e],,,db,db.models.SilencingReagent,reagent,[xls],
naturalproductreagent,resource,natural_product_reagent,[substance_id],[well_id],/reports/api/v1/resource/naturalproductreagent/,0,,"A reagent in a library well.","Natural Product Reagent",[l;d;e],,,db,db.models.NaturalProductReagent,reagent,[xls],
copywell,resource,copy_well,[library_short_name;copy_name;well_id],"[library_short_name;': ';copy_name;': ';well_id]",/reports/api/v1/resource/copywell/,0,,"A copy well","Copy Well",[l;d;e],,,db,,,[xls],
copywellhistory,resource,well_volume_adjustment,[copy_name;well_id;date_time],"[library_short_name;': ';copy_name;': ';well_id;': ';date_time]",/reports/api/v1/resource/copywellhistory/,0,"Note: not currently used.","A well volume adjustment","Well Volume Adjustment",[l;d;e],,,db,,,[xls],
cherrypickrequest,resource,cherry_pick_request,[cherry_pick_request_id],"['Screen: ';screen_facility_id;': #: ';cherry_pick_request_id]",/reports/api/v1/resource/cherrypickrequest/,0,,"Cherry Pick Request","Cherry Pick Request",[l;d;e;c],,,db,,,[xls],
labcherrypick,resource,lab_cherry_pick,[cherry_pick_request_id;source_well_id;source_copy_name],"[cherry_pick_request_id;': ';source_well_id]",/reports/api/v1/resource/labcherrypick/,0,,"Lab Cherry Pick","Lab Cherry Pick",[l;d;e;c],,,db,,,[xls],
screenercherrypick,resource,screener_cherry_pick,[cherry_pick_request_id;screened_well_id],"[cherry_pick_request_id;': ';screened_well_id]",/reports/api/v1/resource/screenercherrypick/,0,,"Screener Cherry Pick","Screener Cherry Pick",[l;d;e;c],,,db,,,[xls],
cherrypickassayplate,resource,cherry_pick_assay_plate,[cherry_pick_request_id;plate_ordinal],"['CPR ID: ';cherry_pick_request_id;' , plate: ';plate_ordinal]",/reports/api/v1/resource/cherrypickassayplate/,0,,"Cherry Pick Assay Plate","Cherry Pick Assay Plate",[l;d;e],,,db,,,[xls],
userchecklistitem,resource,user_checklist_item,[username;item_group;item_name],[username;':';item_group;':';item_name],/reports/api/v1/resource/userchecklistitem/,0,,"User Checklist Item","User Checklist Item",[l;d],,,db,,,[xls],
attachedfile,resource,attached_file,[attached_file_id],[filename],/reports/api/v1/resource/attachedfile/,0,,"An Attached File","Attached File",[l;d],,,db,,,[xls],
useragreement,resource,attached_file,[attached_file_id],[filename],/reports/api/v1/resource/useragreement/,0,,"A user agreement document and data","User Agreement",[l;d],,,db,,attachedfile,[xls],
publication,resource,publication,[publication_id],[title],/reports/api/v1/resource/publication/,0,,"A publication",Publication,[l;d],,,db,,,[xls],
