key,scope,ordinal,title,is_retired
data_qc_report,attachedfiletype.screen,1,Data QC Report,False
iccb_l_application,attachedfiletype.screen,2,ICCB-L Application,False
iccb_l_nsrb_application,attachedfiletype.screen,3,ICCB-L/NSRB Application,True
marcus_application,attachedfiletype.screen,4,Marcus Application,True
miare_document,attachedfiletype.screen,5,MIARE Document,True
nerce_screener_supplies_list,attachedfiletype.screen,6,NERCE screener supplies list,True
primary_screen_report,attachedfiletype.screen,7,Primary Screen Report,False
publication,attachedfiletype.screen,8,Publication,False
screener_correspondence,attachedfiletype.screen,9,Screener Correspondence,False
2009_iccb_l_small_molecule_user_agreement,attachedfiletype.user,1,2009 ICCB-L Small Molecule User Agreement,True
iccb_l_small_molecule_user_agreement,attachedfiletype.user,2,ICCB-L Small Molecule User Agreement,False
iccb_l_application_user,attachedfiletype.user,3,ICCB-L Application (user),False
iccb_l_rnai_user_agreement,attachedfiletype.user,4,ICCB-L RNAi User Agreement,False
iccb_l_training_checklist,attachedfiletype.user,5,ICCB-L Training Checklist,False
letter_of_support_other,attachedfiletype.user,6,Letter of Support - Other,False
letter_of_support_rnai,attachedfiletype.user,7,Letter of Support - RNAi,False
letter_of_support_rnai_small_molecule,attachedfiletype.user,8,Letter of Support - RNAi & Small Molecule,False
letter_of_support_small_molecule,attachedfiletype.user,9,Letter of Support - Small Molecule,False
other,attachedfiletype.user,10,Other,False
publication,attachedfiletype.user,11,Publication,False
user_correspondence,attachedfiletype.user,12,User Correspondence,False
