resource_uri,key,scope,ordinal,title,expire_interval_days,expire_notifiy_days
/reports/api/v1/vocabulary/checklistitem.group/forms/,forms,checklistitem.group,1,Forms,,
/reports/api/v1/vocabulary/checklistitem.group/imaging/,imaging,checklistitem.group,3,Imaging,,
/reports/api/v1/vocabulary/checklistitem.group/legacy/,legacy,checklistitem.group,4,Legacy,,
/reports/api/v1/vocabulary/checklistitem.group/mailing_lists_wikis/,mailing_lists_wikis,checklistitem.group,0,"Mailing Lists & Wikis",,
/reports/api/v1/vocabulary/checklistitem.group/non_harvard_screeners/,non_harvard_screeners,checklistitem.group,2,"Non-Harvard Screeners",,
/reports/api/v1/vocabulary/checklistitem.legacy.name/2009_small_molecule_user_level_one_1_agreement_signed/,2009_small_molecule_user_level_one_1_agreement_signed,checklistitem.legacy.name,3,"2009 Small Molecule User Level ONE (1) agreement signed",,
/reports/api/v1/vocabulary/checklistitem.legacy.name/2009_small_molecule_user_level_three_3_agreement_signed/,2009_small_molecule_user_level_three_3_agreement_signed,checklistitem.legacy.name,5,"2009 Small Molecule User Level THREE (3) agreement signed",,
/reports/api/v1/vocabulary/checklistitem.legacy.name/2009_small_molecule_user_level_two_2_agreement_signed/,2009_small_molecule_user_level_two_2_agreement_signed,checklistitem.legacy.name,4,"2009 Small Molecule User Level TWO (2) agreement signed",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/added_to_iccb_l_nsrb_email_list/,added_to_iccb_l_nsrb_email_list,checklistitem.mailing_lists_wikis.name,1,"Added to ICCB-L/NSRB email list",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/added_to_imaging_email_list/,added_to_imaging_email_list,checklistitem.mailing_lists_wikis.name,3,"Added to Imaging email list",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/added_to_mouse_imager_email_list/,added_to_mouse_imager_email_list,checklistitem.mailing_lists_wikis.name,8,"Added to mouse imager email list",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/added_to_qpcr_email_list/,added_to_qpcr_email_list,checklistitem.mailing_lists_wikis.name,4,"Added to QPCR email list",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/added_to_rnai_email_list/,added_to_rnai_email_list,checklistitem.mailing_lists_wikis.name,2,"Added to RNAi email list",,
/reports/api/v1/vocabulary/checklistitem.imaging.name/cellworx_training/,cellworx_training,checklistitem.imaging.name,3,"CellWoRx training",,
/reports/api/v1/vocabulary/checklistitem.forms.name/current_rnai_user_agreement_active/,current_rnai_user_agreement_active,checklistitem.forms.name,5,"Current RNAi User Agreement active",720,60
/reports/api/v1/vocabulary/checklistitem.forms.name/current_small_molecule_user_agreement_active/,current_small_molecule_user_agreement_active,checklistitem.forms.name,2,"Current Small Molecule User Agreement active",720,60
/reports/api/v1/vocabulary/checklistitem.forms.name/gsk_kinase_inhibitors_library_user_agreement_signed/,gsk_kinase_inhibitors_library_user_agreement_signed,checklistitem.forms.name,12,"GSK kinase inhibitors library user agreement signed",,
/reports/api/v1/vocabulary/checklistitem.legacy.name/historical_iccb_l_nsrb_server_account_set_up_general_account/,historical_iccb_l_nsrb_server_account_set_up_general_account,checklistitem.legacy.name,1,"Historical - ICCB-L/NSRB server account set up (general account)",,
/reports/api/v1/vocabulary/checklistitem.legacy.name/historical_iccb_server_account_requested/,historical_iccb_server_account_requested,checklistitem.legacy.name,2,"Historical - ICCB server account requested",,
/reports/api/v1/vocabulary/checklistitem.imaging.name/iccb_l_nsrb_image_file_server_access_set_up/,iccb_l_nsrb_image_file_server_access_set_up,checklistitem.imaging.name,6,"ICCB-L/NSRB image file server access set up",,
/reports/api/v1/vocabulary/checklistitem.mailing_lists_wikis.name/id_submitted_for_access_to_screening_room/,id_submitted_for_access_to_screening_room,checklistitem.mailing_lists_wikis.name,7,"ID submitted for access to screening room",,
/reports/api/v1/vocabulary/checklistitem.imaging.name/id_submitted_for_c_607_access/,id_submitted_for_c_607_access,checklistitem.imaging.name,1,"ID submitted for C-607 access",,
