name,super_groups,sub_groups,permissions
billingAdmin,,,
userAgreementExpirationNotify,,,
screenDslExpirationNotify,,,
screensaverUser,,,[resource/vocabulary/read;resource/field/read;resource/resource/read]
readEverythingAdmin,[screensaverUser],,
activityView,[screensaverUser],[readEverythingAdmin],[resource/activity/read;resource/libraryscreening/read;resource/cplt/read;resource/serviceactivity/read;resource/cherrypickscreening/read]
screenView,[screensaverUser;activityView],[readEverythingAdmin],[resource/screen/read;resource/study/read;resource/activity/read;resource/libraryscreening/read;resource/cplt/read;resource/serviceactivity/read;resource/cherrypickscreening/read;resource/publication/read;resource/rawdatatransform/write]
screenSummaryView,[screenView],[readEverythingAdmin],[resource/screensummary/read]
screenResultView,[screenView;screenSummaryView],[readEverythingAdmin],[resource/screenresult/read;resource/datacolumn/read]
libraryView,[screensaverUser],[readEverythingAdmin],[resource/library/read;resource/librarycopy/read;resource/librarycopies/read;resource/librarycopyplate/read;resource/librarycopyplates/read;resource/well/read;resource/reagent/read;resource/silencingreagent/read;resource/smallmoleculereagent/read;resource/naturalproductreagent/read;resource/platelocation/read;resource/copywell/read]
libraryCopyPlateView,[libraryView],[readEverythingAdmin],
cherryPickRequestView,[screensaverUser;screenSummaryView;libraryView],[readEverythingAdmin],[resource/cherrypickrequest/read;resource/labcherrypick/read;resource/screenercherrypick/read;resource/cherrypickassayplate/read;resource/rawdatatransform/write]
userView,[screensaverUser],[readEverythingAdmin],[resource/user/read;resource/usergroup/read;resource/userchecklist/read;resource/screensaveruser/read;resource/attachedfile/read;resource/publication/read;resource/labaffiliation/read]
screensaverUserView,[screensaverUser;userView],[readEverythingAdmin],[resource/screensaveruser/read;resource/labaffiliation/read;resource/attachedfile/read;resource/publication/read;resource/useragreement/read]
adminEditor,[screensaverUser],,[resource/vocabulary/write;resource/attachedfile/write;resource/activity/write]
libraryAdmin,[adminEditor;libraryView],,[resource/library/write;resource/library/read;resource/well/write;resource/reagent/write]
cherryPickRequestAdmin,[cherryPickRequestView],,[resource/cherrypickrequest/write;resource/labcherrypick/write;resource/screenercherrypick/write;resource/cherrypickassayplate/write;resource/rawdatatransform/write]
screenAdmin,[adminEditor;screenView],,[resource/screen/write;resource/attachedfile/write;resource/publication/write;resource/rawdatatransform/write]
libraryScreeningAdmin,[screenView],,[resource/libraryscreening/write]
screenDataSharingLevelsAdmin,,,
screenResultAdmin,[screenResultView],,[resource/screenresult/write;resource/datacolumn/write;resource/rawdatatransform/write]
serviceActivityView,[userView],,
serviceActivityAdmin,[serviceActivityView],,[resource/serviceactivity/write]
userAdmin,[adminEditor;userView],,[resource/user/write;resource/screensaveruser/write;resource/attachedfile/write;resource/labaffiliation/write;resource/userchecklist/write;resource/usergroup/write]
screensaverUserAdmin,[screensaverUser;screensaverUserView;userAdmin],,[resource/screensaveruser/write;resource/useragreement/write;/resource/labaffiliation/write;resource/useragreement/write]
labHeadAdmin,[userAdmin],,
userChecklistAdmin,[userView],,[resource/userchecklist/write]
libraryCopyAdmin,[screensaverUser],,[resource/librarycopy/write;resource/platelocation/write;resource/librarycopyplate/write]
libraryCopyWellAdmin,[libraryCopyAdmin],,[resource/copywell/write]
apilogView,[screensaverUser],[readEverythingAdmin],[resource/apilog/read]
serviceActivityPerformers,,,
