key,scope,resource_uri,ordinal,comment,ui_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,alias,backgrid_cell_type,backgrid_cell_options,is_restricted
first_name,fields.user,/reports/api/v1/metahash/fields.user/first_name/,1,,string,TRUE,"First Name","First Name",TRUE,,,list;detail;edit,,,,
last_name,fields.user,/reports/api/v1/metahash/fields.user/last_name/,2,,string,TRUE,"Last Name","Last Name",TRUE,,,list;detail;edit,,,,
ecommons_id,fields.user,/reports/api/v1/metahash/fields.user/ecommons_id/,3,,string,TRUE,Ecommons,Ecommons,TRUE,,,list;detail;edit,,,,
email,fields.user,/reports/api/v1/metahash/fields.user/email/,5,,string,TRUE,Email,Email,TRUE,,,list;detail;edit,,,,
username,fields.user,/reports/api/v1/metahash/fields.user/username/,0,,string,TRUE,Username,Username,TRUE,,,list;detail;edit,,Iccbl.EditCell,,
is_staff,fields.user,/reports/api/v1/metahash/fields.user/is_staff/,6,,boolean,TRUE,"Staff users may upload data","Is Staff",TRUE,,,list;detail;edit,,,,
permissions,fields.user,/reports/api/v1/metahash/fields.user/permissions/,10,,uri_list,FALSE,"Permissions assigned directly to the user","User Permissions",FALSE,,,,,,,
usergroups,fields.user,/reports/api/v1/metahash/fields.user/usergroups/,11,,uri_list,TRUE,"Groups that the user belongs to","User Groups",FALSE,,,,,,,
is_superuser,fields.user,/reports/api/v1/metahash/fields.user/is_superuser/,12,,boolean,TRUE,,"Is Superuser",TRUE,,,list;detail;edit,,,,
is_for_group,fields.user,/reports/api/v1/metahash/fields.user/is_for_group/,13,,boolean,TRUE,"Is the user in the containing group","Is For Group",FALSE,,,,,,,
all_permissions,fields.user,/reports/api/v1/metahash/fields.user/all_permissions/,14,,boolean,TRUE,"combined user/group permissions","All Permissions",FALSE,,,detail,,,,
