key,scope,resource_uri,ordinal,comment,ui_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,alias,backgrid_cell_type,backgrid_cell_options,is_restricted
name,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/name/,0,,string,TRUE,"The group name",Name,TRUE,,,list;detail;edit,,Iccbl.EditCell,,
users,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/users/,9,,Checkboxes,TRUE,"Users in the group","User URI List",TRUE,,,,,,,
super_groups,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/super_groups/,3,,embedded,FALSE,"Usergroups this group is a member of (inherits permissions from)","Super Groups",FALSE,,,list;detail,,,,
permissions,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/permissions/,2,,embedded,TRUE,"Permissions for the group",Permissions,TRUE,,,list;detail,,,,
user_list,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/user_list/,1,,string,TRUE,"User usernames assigned to this group",Usernames,TRUE,,,list;detail,,,,
is_for_user,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/is_for_user/,5,,boolean,TRUE,"Is the user in the group","Is For User",TRUE,,,,,,,
is_for_group,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/is_for_group/,6,,boolean,TRUE,"Is the (super)group assigned to this group?","Is Member",TRUE,,,,,,,
sub_groups,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/sub_groups/,4,,embedded,FALSE,"Usergroups that are a member of this group (inherits users from)","Sub Groups",FALSE,,,list;detail,,,,
all_users,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/all_users/,7,,uri_list,FALSE,"All users; including those from subgroups","All Users",FALSE,,,detail,,,,
all_permissions,fields.usergroup,/reports/api/v1/metahash/fields.usergroup/all_permissions/,8,,uri_list,FALSE,"All permissions; including those from superGroups","All Permissions",FALSE,,,detail,,,,
