key,scope,ordinal,json_field_type
key,fields.metahash,0,
scope,fields.metahash,1,
ordinal,fields.metahash,2,
title,fields.metahash,3,fields.CharField
description,fields.metahash,4,fields.CharField
comment,fields.metahash,5,fields.CharField
ui_type,fields.metahash,6,fields.CharField
visibility,fields.metahash,7,fields.ListField
ordering,fields.metahash,8,CsvBooleanField
filtering,fields.metahash,9,CsvBooleanField
json_field_type,fields.metahash,21,
vocabulary_scope_ref,fields.metahash,22,fields.CharField
backgrid_cell_type,fields.metahash,23,fields.CharField
id,fields.metahash,99,
resource_uri,fields.metahash,99,
alias,fields.metahash,99,
backgrid_cell_options,fields.metahash,24,fields.CharField
default,fields.metahash,25,fields.CharField
is_restricted,fields.metahash,26,CsvBooleanField
nested_resource,fields.metahash,27,fields.CharField
