key,scope,resource_uri,ordinal,json_field_type,comment,data_type,display_type,display_options,edit_type,filtering,description,title,ordering,vocabulary_scope_ref,visibility,alias,is_restricted,editability
key,fields.metahash,/reports/api/v1/metahash/fields.metahash/key/,0,,"This is a composite key, along with scope",string,,,,TRUE,"The key field",Key,TRUE,,[l;d;e],,,[c;u]
scope,fields.metahash,/reports/api/v1/metahash/fields.metahash/scope/,1,,"This is a composite key, along with key",string,,,,TRUE,"The scope field",Scope,TRUE,,[l;d;e],,,[c;u]
ordinal,fields.metahash,/reports/api/v1/metahash/fields.metahash/ordinal/,2,,"The sort order counts from 0, if two are equal in a set, then secondary sort is by key (alpha)",integer,,,,TRUE,"The ordinal field determines sort order",Ordinal,TRUE,,[l;d;e],,,[c;u]
title,fields.metahash,/reports/api/v1/metahash/fields.metahash/title/,3,fields.CharField,"The title of this field",string,link,"{ 'hrefTemplate': '#metahash/{scope}/{key}' }",,TRUE,"The title is the label that is displayed to the end user",Title,TRUE,,[l;d;e],,,[c;u]
description,fields.metahash,/reports/api/v1/metahash/fields.metahash/description/,4,fields.CharField,,string,,,,TRUE,"The description is used in tooltips and other queues to the user",Description,TRUE,,[l;d;e],,,[c;u]
comment,fields.metahash,/reports/api/v1/metahash/fields.metahash/comment/,5,fields.CharField,"comment on the comment!",string,,,,TRUE,"The comment is additional information displayed in the detail view",Comment,TRUE,,[d;e],,,[c;u]
data_type,fields.metahash,/reports/api/v1/metahash/fields.metahash/data_type/,7,fields.CharField,"data type for persistence/serialization",string,,,,,"Data Type","Data Type",,field.data_type,[l;d;e],,,[c;u]
display_type,fields.metahash,/reports/api/v1/metahash/fields.metahash/display_type/,8,fields.CharField,"display type for list and detail view",string,,,,,"Display Type","Display Type",,field.display_type,[l;d;e],,,[c;u]
display_options,fields.metahash,/reports/api/v1/metahash/fields.metahash/display_options/,9,fields.CharField,"display options as json; used by client to display",string,,,,,"Options hash for the client to parse on display.","Display Options",,,[d;e],,,[c;u]
edit_type,fields.metahash,/reports/api/v1/metahash/fields.metahash/edit_type/,10,fields.CharField,"edit view type",string,,,,,"Edit Type","Edit Type",,field.edit_type,[l;d;e],,,[c;u]
visibility,fields.metahash,/reports/api/v1/metahash/fields.metahash/visibility/,11,fields.ListField,,list,,,multiselect,TRUE,"The designations of where this field is visible",Visibility,TRUE,field.visibility,[l;d;e],,,[c;u]
editability,fields.metahash,/reports/api/v1/metahash/fields.metahash/editability/,12,fields.ListField,,list,,,multiselect,TRUE,"Field can be edited in these contexts",Editability,TRUE,field.editability,[l;d],,,[c;u]
ordering,fields.metahash,/reports/api/v1/metahash/fields.metahash/ordering/,13,CsvBooleanField,,boolean,,,,TRUE,"The designations of whether this field is orderable through the API",Orderable,TRUE,,[d;e],,,[c;u]
filtering,fields.metahash,/reports/api/v1/metahash/fields.metahash/filtering/,14,CsvBooleanField,,boolean,,,,TRUE,"Specifies that this field may be filtered through the API interface",Filterable,TRUE,,[d;e],,,[c;u]
json_field_type,fields.metahash,/reports/api/v1/metahash/fields.metahash/json_field_type/,21,,"This field both specifies (if set) that this is a json field, and also the type of that field, for use by tastypie in serialization with the client",string,,,select,FALSE,"The json_field_type, if set, specifies that this field is stored virtually in the json_field of the metahash","API (JSON) Field Type",TRUE,field.json_field_type,[d;e],,,[c;u]
vocabulary_scope_ref,fields.metahash,/reports/api/v1/metahash/fields.metahash/vocabulary_scope_ref/,22,fields.CharField,"This scope field value in the vocabularies table for the vocabulary entries for this field",string,,,,FALSE,"The vocabulary_scope_ref is used to look up controlled vocabularies for this field in the vocabularies table",Vocabulary:scope,TRUE,,[d;e],,,[c;u]
id,fields.metahash,/reports/api/v1/metahash/fields.metahash/id/,99,,,string,,,,,"Internal use only ID",ID,,,[],,,[c;u]
resource_uri,fields.metahash,/reports/api/v1/metahash/fields.metahash/resource_uri/,99,,,string,,,,,"Internal use only resource_uri",URI,,,[],,,[c;u]
alias,fields.metahash,/reports/api/v1/metahash/fields.metahash/alias/,99,,,string,,,,,Unused,Alias,,,[],,,[c;u]
default,fields.metahash,/reports/api/v1/metahash/fields.metahash/default/,25,fields.CharField,default,string,,,,FALSE,"Default value for new instances",Default,FALSE,,[d;e],,,[c;u]
is_restricted,fields.metahash,/reports/api/v1/metahash/fields.metahash/is_restricted/,26,CsvBooleanField,"Field permissions follow the resource permissions, unless the field is restricted, in which case explicit permissions must be given for this field.",boolean,,,,FALSE,"Whether this field requires explicit permissions to view, edit, or create","Is Restricted",FALSE,,[l;d;e],,,[c;u]
nested_resource,fields.metahash,/reports/api/v1/metahash/fields.metahash/nested_resource/,27,fields.CharField,,string,,,,FALSE,"The resource ID for the nested resource","Nested Resource",FALSE,,[l;d;e],,,[c;u]
required,fields.metahash,/reports/api/v1/metahash/fields.metahash/required/,28,CsvBooleanField,,boolean,,,,,"Does this field require a value?",Required,FALSE,,[d;e],,,[c;u]
regex,fields.metahash,/reports/api/v1/metahash/fields.metahash/regex/,29,fields.CharField,,string,,,,,"Regex format that this field must comply to",Format,,,[d;e],,,[c;u]
min,fields.metahash,/reports/api/v1/metahash/fields.metahash/min/,30,fields.IntegerField,,integer,,,,,"Minimum allowed value",Min,,,[d;e],,,[c;u]
max,fields.metahash,/reports/api/v1/metahash/fields.metahash/max/,31,fields.IntegerField,,integer,,,,,"Maximum allowed value",Max,,,[d;e],,,[c;u]
validation_message,fields.metahash,/reports/api/v1/metahash/fields.metahash/validation_message/,32,fields.CharField,"This field supports tokens (references to other fields)",string,,,,,"Validation failure message","Validation message",,,[d;e],,,[c;u]
linked_field_type,fields.metahash,/reports/api/v1/metahash/fields.metahash/linked_field_type/,33,fields.CharField,"The type of the field, for use by tastypie in serialization with the client",string,,,,,"The linked_field_type, if set, specifies that this field is stored virtually in a field in the linked_field_module table","Linked Field Type",,,[d;e],,,[c;u]
linked_field_module,fields.metahash,/reports/api/v1/metahash/fields.metahash/linked_field_module/,34,fields.CharField,"Use the full Python style path, i.e. <module.module.Class>",string,,,,,"The table model module used to hold the linked field","Linked Field Table Module",,,[d;e],,,[c;u]
