key,scope,resource_uri,ordinal,comment,ui_type,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,alias,backgrid_cell_type,backgrid_cell_options
short_name,fields:library,/reports/api/v1/metahash/fields:library/short_name/,0,,string,TRUE,"The abbreviated name for the library","Short Name",TRUE,,,"[list,detail]",,Iccbl.EditCell,
library_name,fields:library,/reports/api/v1/metahash/fields:library/library_name/,1,,string,TRUE,"The full name of the library","Library Name",TRUE,,,"[list,detail]",,,
experimental_well_count,fields:library,/reports/api/v1/metahash/fields:library/experimental_well_count/,2,,integer,TRUE,"The number of experimental wells in the library (click link to browse experimental wells)","Experimental Well Count",TRUE,,,"[list,detail]",,,
provider,fields:library,/reports/api/v1/metahash/fields:library/provider/,3,,string,TRUE,"The vendor or source that provided the library",Provider,TRUE,,,"[list,detail]",,,
screen_type,fields:library,/reports/api/v1/metahash/fields:library/screen_type/,4,,string,TRUE,"RNAi' or 'Small Molecule'","Screen Type",TRUE,,,"[list,detail]",,,
solvent,fields:library,/reports/api/v1/metahash/fields:library/solvent/,5,,string,TRUE,"Solvent used in the library wells",Solvent,TRUE,,,[detail],,,
library_type,fields:library,/reports/api/v1/metahash/fields:library/library_type/,6,,string,TRUE,"The type of library, e.g., 'Commercial', 'Known Bioactives', 'siRNA', etc.","Library Type",TRUE,,,"[list,detail]",,,
is_pool,fields:library,/reports/api/v1/metahash/fields:library/is_pool/,7,,string,TRUE,"Whether wells contains pools of reagents or single reagents","Is Pool",TRUE,,,"[list,detail]",,,
start_plate,fields:library,/reports/api/v1/metahash/fields:library/start_plate/,8,,string,TRUE,"The plate number for the first plate in the library","Start Plate",TRUE,,,"[list,detail]",,,
end_plate,fields:library,/reports/api/v1/metahash/fields:library/end_plate/,9,,string,TRUE,"The plate number for the last plate in the library","End Plate",TRUE,,,"[list,detail]",,,
copies,fields:library,/reports/api/v1/metahash/fields:library/copies/,10,,string,TRUE,"The copies that have been made of this library",Copies,TRUE,,,"[list,detail]",,,
screening_status,fields:library,/reports/api/v1/metahash/fields:library/screening_status/,11,,string,TRUE,"Screening status for the library, e.g., 'Allowed', 'Not Allowed', 'Not Yet Plated', etc.","Screening Status",TRUE,,,"[list,detail]",,,
date_created,fields:library,/reports/api/v1/metahash/fields:library/date_created/,12,,date,TRUE,"The date the data was received","Date Data Received",TRUE,,,"[list,detail]",,,
date_loaded,fields:library,/reports/api/v1/metahash/fields:library/date_loaded/,13,,date,TRUE,"The date the library data was loaded","Date Loaded",TRUE,,,"[list,detail]",,,
date_publicly_available,fields:library,/reports/api/v1/metahash/fields:library/date_publicly_available/,14,,date,TRUE,"The date the library data was made publicly available","Date Publicly Available",TRUE,,,"[list,detail]",,,
